target_shared_id,target_label_en,target_country_count,jurisdiction,product_id,product_name,target_local_labels,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:e516e0b6d5d581094ced2442,丁硫·福美双,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:7abe0056ef339b21ed8cd996,三氟吡啶胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:0cc0e7021b45aae540fc9542,三氟吡啶胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:70d9bdcf0b88cdc8b8937891,三氟吡啶胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:5d8b987a553e964fceb00995,丙环·嘧菌酯,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:26a9d068808a0b1da1818dd0,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:6db49bb73eae914928071736,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:597150889be9080ad0a2d2f0,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:360b2152e02ab0c2aae41e5d,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a71d6a48ea25ebba92dbf041,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:5c5a9dee9d7d3841d3c3d692,丙环唑,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:15e4429e508e4330a29756cd,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:3715d1f39a8850e3798ef016,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:3a5c53642e1e08ac988702ed,丙环唑,根腐病,1,1,official_pair_asserted
